end_of_week,bsr_cat_1,min_bsr_rank_1
2024-01-06,Grocery & Gourmet Food,1625
2024-01-13,Grocery & Gourmet Food,1665
2024-01-20,Grocery & Gourmet Food,1907
2024-01-27,Grocery & Gourmet Food,1625
2024-02-03,Grocery & Gourmet Food,1814
2024-02-03,"",""
2024-02-10,Grocery & Gourmet Food,2062
2024-02-17,Grocery & Gourmet Food,1976
2024-02-17,"",""
2024-02-24,Grocery & Gourmet Food,1671
2024-03-02,Grocery & Gourmet Food,1704
2024-03-09,Grocery & Gourmet Food,1690
2024-03-16,Grocery & Gourmet Food,1813
2024-03-23,Grocery & Gourmet Food,1896
2024-03-30,Grocery & Gourmet Food,1903
2024-04-06,Grocery & Gourmet Food,1664
2024-04-13,Grocery & Gourmet Food,1601
2024-04-20,Grocery & Gourmet Food,1627
2024-04-27,"",""
2024-04-27,Grocery & Gourmet Food,1533
2024-05-04,Grocery & Gourmet Food,1444
2024-05-11,Grocery & Gourmet Food,1615
2024-05-18,Grocery & Gourmet Food,1551
2024-05-25,Grocery & Gourmet Food,1693
2024-06-01,Grocery & Gourmet Food,1571
2024-06-08,Grocery & Gourmet Food,1526
2024-06-15,Grocery & Gourmet Food,1399
2024-06-22,Grocery & Gourmet Food,1391
2024-06-29,Grocery & Gourmet Food,1370
2024-07-06,Grocery & Gourmet Food,1322
2024-07-13,Grocery & Gourmet Food,1311
2024-07-20,Grocery & Gourmet Food,1499
2024-07-27,Grocery & Gourmet Food,1544
